Date,Open,High,Low,Close,Adj Close,Volume
2021-05-03,151.250000,152.467499,140.102493,148.122498,147.840424,132396800
2021-05-10,147.872498,148.059998,134.589996,142.429993,142.158737,140191600
2021-05-17,141.570007,152.220001,135.432495,149.917496,149.632004,174182000
2021-05-24,152.125000,162.774994,151.759995,162.445007,162.135651,258667600
2021-05-31,162.699997,176.610001,159.032501,175.782501,175.447754,226410000
2021-06-07,175.712494,179.392502,171.759995,178.252502,177.913040,198534000
2021-06-14,179.059998,193.750000,175.845001,186.387497,186.075165,265004400
2021-06-21,184.352493,194.199997,178.227493,190.309998,189.991104,218417200
2021-06-28,193.612503,205.052505,193.190002,204.869995,204.526672,201253600
2021-07-05,207.375000,208.750000,197.007507,200.502502,200.166550,166506000
2021-07-12,202.399994,205.327499,180.729996,181.610001,181.305710,223158000
2021-07-19,179.152496,198.869995,178.654999,195.580002,195.252289,207426200
2021-07-26,193.110001,198.529999,187.410004,194.990005,194.663300,102927500
2021-08-02,197.000000,207.330002,192.199997,203.660004,203.318756,114049600
2021-08-09,204.460007,205.080002,194.300003,201.880005,201.541733,84632100
2021-08-16,201.350006,208.649994,187.619995,208.160004,207.811203,214367000
2021-08-23,209.710007,227.220001,209.500000,226.360001,225.980698,176346900
2021-08-30,228.300003,230.429993,221.199997,228.429993,228.047226,119256300
2021-09-06,228.330002,228.990005,219.770004,224.779999,224.442932,89777300
2021-09-13,226.839996,229.639999,218.300003,219.000000,218.671600,111432900
2021-09-20,211.460007,225.350006,206.619995,220.809998,220.478867,128906400
2021-09-27,217.100006,217.990005,202.029999,207.419998,207.108978,126866500
2021-10-04,205.039993,213.220001,195.550003,208.309998,207.997650,133029600
2021-10-11,205.750000,219.309998,205.110001,218.619995,218.292145,97675700
2021-10-18,217.490005,231.300003,216.440002,227.259995,226.919220,93421700
2021-10-25,229.729996,257.089996,227.699997,255.669998,255.286591,148883000
2021-11-01,256.489990,314.000000,252.270004,297.519989,297.073822,280465300
2021-11-08,301.489990,323.100006,287.779999,303.899994,303.444305,253127900
2021-11-15,305.519989,330.880005,288.000000,329.850006,329.355438,239347900
2021-11-22,335.170013,346.470001,308.799988,315.029999,314.557587,200472900
2021-11-29,323.660004,334.119995,301.299988,306.929993,306.469696,257861300
2021-12-06,298.799988,324.489990,280.380005,301.980011,301.564056,270487400
2021-12-13,302.489990,311.600006,272.500000,278.010010,277.627075,338480000
2021-12-20,273.049988,300.589996,271.450012,296.399994,295.991760,172443800
2021-12-27,296.600006,313.299988,293.309998,294.109985,293.704895,174281000
2022-01-03,298.149994,307.109985,270.570007,272.470001,272.094757,228089000
2022-01-10,265.809998,285.950012,256.440002,269.420013,269.048950,231818600
2022-01-17,262.600006,266.380005,232.630005,233.740005,233.418060,206672400
2022-01-24,223.300003,240.570007,208.880005,228.399994,228.085419,345168400
2022-01-31,231.820007,258.170013,230.520004,243.190002,242.855057,239203100
2022-02-07,243.720001,269.250000,237.729996,239.490005,239.160141,243018100
2022-02-14,239.339996,265.820007,231.000000,236.419998,236.094376,344481900
2022-02-21,230.350006,242.169998,208.899994,241.570007,241.237274,246460000
2022-02-28,239.919998,246.649994,224.820007,229.360001,229.044083,207552700
2022-03-07,228.169998,232.199997,206.500000,221.000000,220.733215,229630500
2022-03-14,218.690002,265.690002,211.589996,264.529999,264.210693,275143200
2022-03-21,265.070007,283.579987,255.750000,276.920013,276.585724,309724900
2022-03-28,277.559998,289.459991,262.670013,267.119995,266.797516,241864000
2022-04-04,267.279999,275.579987,230.619995,231.190002,230.910919,262034100
2022-04-11,222.139999,227.770004,211.630005,212.580002,212.323395,232350500
2022-04-18,212.000000,226.699997,195.000000,195.149994,194.914413,278837800
2022-04-25,192.020004,201.279999,182.899994,185.470001,185.246078,286493100
2022-05-02,185.410004,204.000000,179.899994,186.750000,186.524567,295628300
2022-05-09,180.339996,182.550003,155.669998,177.059998,176.846237,345526100
2022-05-16,175.089996,183.710007,157.550003,166.940002,166.738480,301285200
2022-05-23,162.740005,188.809998,157.800003,188.110001,187.882919,374452500
2022-05-30,189.800003,196.190002,181.220001,187.199997,186.974014,245604900
2022-06-06,191.389999,193.369995,168.690002,169.740005,169.535095,203539400
2022-06-13,160.000000,168.679993,153.279999,158.800003,158.641830,281385200
2022-06-20,164.750000,171.399994,158.529999,171.259995,171.089417,185605700
2022-06-27,173.119995,173.300003,143.919998,145.229996,145.085342,263514900
2022-07-04,141.750000,160.369995,140.550003,158.380005,158.222260,214133800
2022-07-11,155.259995,157.820007,144.649994,157.619995,157.462997,225989200
2022-07-18,163.020004,181.440002,160.020004,173.190002,173.017487,322714100
2022-07-25,170.190002,182.440002,164.779999,181.630005,181.449081,235849500
2022-08-01,181.820007,192.740005,179.899994,189.889999,189.700851,217986200
2022-08-08,175.020004,187.179993,167.240005,187.089996,186.903641,323496500
2022-08-15,187.009995,191.639999,177.699997,178.490005,178.312225,221274000
2022-08-22,174.899994,179.470001,162.369995,162.600006,162.438065,284205800
2022-08-29,160.199997,163.380005,132.699997,136.470001,136.334076,352204500
2022-09-05,137.309998,144.740005,133.460007,143.869995,143.726700,215989300
2022-09-12,143.690002,145.470001,126.169998,131.979996,131.887726,298199800
2022-09-19,130.119995,140.309998,122.570000,125.160004,125.072502,332465300
2022-09-26,124.910004,128.229996,119.459999,121.389999,121.305130,274201200
2022-10-03,123.470001,136.559998,120.220001,120.760002,120.675575,295542600
2022-10-10,120.370003,121.239998,108.129997,112.269997,112.191498,342230600
2022-10-17,115.180000,127.690002,115.169998,124.660004,124.572845,302515900
2022-10-24,125.080002,138.500000,120.639999,138.339996,138.243256,266004500
2022-10-31,137.779999,142.289993,129.559998,141.559998,141.460999,270442700
2022-11-07,142.279999,163.889999,137.589996,163.270004,163.155853,281607300
2022-11-14,162.179993,169.979996,151.199997,154.089996,153.982254,292624100
2022-11-21,151.470001,165.270004,150.800003,162.699997,162.586243,147278000
2022-11-28,160.259995,172.649994,155.199997,168.759995,168.642014,200978900
2022-12-05,166.789993,175.830002,156.669998,170.009995,169.934570,205813100
2022-12-12,170.369995,187.899994,164.100006,165.710007,165.636505,256757900
2022-12-19,165.720001,166.270004,148.820007,152.059998,151.992554,199669500
2022-12-26,150.740005,151.000000,138.839996,146.139999,146.075180,148138100
2023-01-02,148.509995,150.100006,140.339996,148.589996,148.524109,162681300
2023-01-09,152.839996,169.220001,151.410004,168.990005,168.915054,224031300
2023-01-16,168.990005,178.729996,167.309998,178.389999,178.310867,196862500
2023-01-23,180.639999,206.279999,178.179993,203.649994,203.559677,263258100
2023-01-30,199.500000,219.490005,189.500000,211.000000,210.906403,264074700
2023-02-06,208.059998,230.199997,207.860001,212.649994,212.555679,275061100
2023-02-13,215.380005,230.490005,209.619995,213.880005,213.785141,244888200
2023-02-20,210.000000,238.880005,204.210007,232.860001,232.756714,263091000
2023-02-27,236.699997,239.000000,224.320007,238.899994,238.794037,217079100
2023-03-06,238.910004,244.539993,227.259995,229.649994,229.548141,244227900
2023-03-13,227.520004,263.989990,222.970001,257.250000,257.179596,285308600
2023-03-20,256.149994,275.890015,251.300003,267.790009,267.716705,279725900
2023-03-27,268.369995,278.339996,258.500000,277.769989,277.693939,190927300
2023-04-03,275.089996,280.000000,263.950012,270.369995,270.295959,167997700
2023-04-10,268.230011,277.899994,262.200012,267.579987,267.506744,190519100
2023-04-17,265.649994,281.100006,264.329987,271.190002,271.115784,205775900
2023-04-24,270.130005,277.579987,262.250000,277.489990,277.414032,179299400
2023-05-01,278.399994,290.579987,272.399994,286.799988,286.721497,203931000
2023-05-08,285.220001,292.200012,280.459991,283.399994,283.322418,162537400
2023-05-15,285.079987,318.279999,281.519989,312.640015,312.554413,239771500
2023-05-22,309.010010,394.799988,298.059998,389.459991,389.353394,370798000
2023-05-29,405.950012,419.380005,378.220001,393.269989,393.162354,304350900
2023-06-05,389.089996,397.109985,373.559998,387.700012,387.593903,214181300
2023-06-12,392.000000,437.209991,386.179993,426.920013,426.847321,296575100
2023-06-19,429.980011,439.899994,420.149994,422.089996,422.018127,177681600
2023-06-26,424.609985,427.640015,401.000000,423.019989,422.947937,252018400
2023-07-03,425.170013,432.140015,413.459991,425.029999,424.957642,118066200
2023-07-10,426.570007,480.880005,416.489990,454.690002,454.612579,238229700
2023-07-17,462.890015,478.959991,441.000000,443.089996,443.014557,300887700
2023-07-24,447.309998,473.950012,440.399994,467.500000,467.420380,188200400
2023-07-31,467.540009,471.299988,433.869995,446.799988,446.723907,170548900
2023-08-07,451.109985,455.399994,406.390015,408.549988,408.480408,228716000
2023-08-14,404.859985,452.679993,403.109985,432.989990,432.916260,292926600
2023-08-21,444.940002,502.660004,442.220001,460.179993,460.101624,431021100
2023-08-28,464.820007,499.269989,448.880005,485.089996,485.007416,311355600
2023-09-04,482.230011,488.510010,451.519989,455.720001,455.642395,175772200
2023-09-11,461.480011,461.630005,438.079987,439.000000,438.961395,209738700
2023-09-18,427.480011,442.420013,409.799988,416.100006,416.063416,216860900
2023-09-25,415.910004,441.440002,411.769989,434.989990,434.951752,208819200
2023-10-02,440.299988,457.890015,432.459991,457.619995,457.579773,209284900
2023-10-09,448.420013,476.089996,443.679993,454.609985,454.570007,211183400
2023-10-16,450.630005,462.250000,410.779999,413.869995,413.833618,279234000
2023-10-23,412.290009,436.970001,398.799988,405.000000,404.964386,223615700
2023-10-30,410.869995,453.089996,392.299988,450.049988,450.010406,217661700
2023-11-06,452.850006,484.720001,448.989990,483.350006,483.307526,205235800
2023-11-13,483.200012,499.600006,480.989990,492.980011,492.936676,194154800
2023-11-20,493.119995,505.480011,476.899994,477.760010,477.718018,217393200
2023-11-27,478.000000,487.619995,461.869995,467.649994,467.608887,207421400
2023-12-04,460.769989,477.410004,450.100006,475.059998,475.018219,189947700
2023-12-11,474.910004,494.040009,458.299988,488.899994,488.899994,220061700
2023-12-18,494.000000,504.329987,480.980011,488.299988,488.299988,182748900
2023-12-25,489.679993,499.970001,487.510010,495.220001,495.220001,111312500
2024-01-01,492.440002,495.470001,473.200012,490.970001,490.970001,145325300
2024-01-08,495.119995,553.460022,494.790009,547.099976,547.099976,289864400
2024-01-15,550.179993,595.000000,547.400024,594.909973,594.909973,195772700
2024-01-22,600.489990,603.309998,585.849976,598.729980,598.729980,74760900
